﻿Year,Title,Runtime,Rated,Director,Released,Writer,Production,Actors,Awards,Language,Imdb Votes,Imdb Rating,Rotten Tomato Score,Metascore
1998,Following,69 min,R,Christopher Nolan,11/5/99,Christopher Nolan,IFC,"Jeremy Theobald, Alex Haw, Lucy Russell, John Nolan",5 wins & 4 nominations,English,"81,119",7.5,80%,60
2000,Memento,113 min,R,Christopher Nolan,5/25/01,"Christopher Nolan (screenplay), Jonathan Nolan (short story ""Memento Mori"")",Newmarket Films,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",Nominated for 2 Oscars. Another 57 wins & 56 nominations.,English,"1,066,795",8.4,92%,80
2002,Insomnia,118 min,R,Christopher Nolan,5/24/02,"Hillary Seitz (screenplay), Nikolaj Frobenius, Erik Skjoldbjærg",Warner Bros. Pictures,"Al Pacino, Martin Donovan, Oliver 'Ole' Zemen, Hilary Swank",1 win & 10 nominations.,English,"261,003",7.2,92%,78
2005,Batman Begins,140 min,PG-13,Christopher Nolan,6/15/05,"Bob Kane (characters), David S. Goyer (story), Christopher Nolan (screenplay), David S. Goyer (screenplay)",Warner Bros. Pictures,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes",Nominated for 1 Oscar. Another 14 wins & 72 nominations.,"English, Mandarin","1,241,089",8.2,84%,70
2006,The Prestige,130 min,PG-13,Christopher Nolan,10/20/06,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Priest (novel)",Buena Vista Pictures,"Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo",Nominated for 2 Oscars. Another 6 wins & 38 nominations.,English,"1,115,238",8.5,75%,66
2008,The Dark Knight,152 min,PG-13,Christopher Nolan,7/18/08,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)",Warner Bros. Pictures/Legendary,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",Won 2 Oscars. Another 153 wins & 159 nominations.,"English, Mandarin","2,173,344",9,94%,84
2010,Inception,148 min,PG-13,Christopher Nolan,7/16/10,Christopher Nolan,Warner Bros. Pictures,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",Won 4 Oscars. Another 152 wins & 210 nominations.,"English, Japanese, French","1,924,665",8.8,87%,74
2012,The Dark Knight Rises,164 min,PG-13,Christopher Nolan,7/20/12,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)",Warner Bros. Pictures,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt",Nominated for 1 BAFTA Film Award. Another 38 wins & 101 nominations.,"English, Arabic","1,439,795",8.4,87%,78
2014,Interstellar,169 min,PG-13,Christopher Nolan,11/7/14,"Jonathan Nolan, Christopher Nolan",Paramount Pictures,"Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow",Won 1 Oscar. Another 43 wins & 147 nominations.,English,"1,382,265",8.6,72%,74
2017,Dunkirk,106 min,PG-13,Christopher Nolan,7/21/17,Christopher Nolan,Warner Bros. Pictures,"Fionn Whitehead, Damien Bonnard, Aneurin Barnard, Lee Armstrong",Won 3 Oscars. Another 64 wins & 229 nominations.,"English, French, German","505,350",7.9,93%,94